,storyline,cast
Loving Vincent (2017),"Dr. Baldev Chaddha (Anu Kapoor), a well qualified fertility expert, runs a fertility clinic and a sperm bank in Dariyaganj, New Delhi, that guarantees a high quality and specialized sperm for the purpose. Unfortunately he has more failed cases to his credit than successes. A healthy, high performing donor is the need of the hour. Vicky Arora (Ayushmann Khurrana), a young, good-looking, Punjabi boy from Lajpat Nagar, is the only son and of no financial support to Dolly, a widow, who runs a small beauty parlor from home. As luck would have it, a small brawl in the colony brings Dr Chaddha and Vicky, face to face, where Chaddha, concludes that Vicky could be THAT donor he has been looking for. From here on, Chaddha's days and nights are spent in convincing Vicky to become a donor till he finally gives in. Vicky finds his love interest in Ashima Roy (Yami Gautam), a pretty Bengali girl, who works in a Bank. But soon there hunky dory world comes crashing down because of Vicky's past as a donor. With a brief emotional roller coaster ride, Vicky Donor is a light-hearted take on the subject of sperm donation.","{'Vicky Arora': 'Ayushmann Khurrana', 'Ashima Roy': 'Yami Gautam', 'Dr. Baldev Chaddha': 'Annu Kapoor', 'Dolly': 'Dolly Ahluwalia', 'Cameo - item song': 'John Abraham'}"
Pride (I) (2014),"When a devastating event befalls the city of San Fransokyo and catapults Hiro into the midst of danger, he turns to Baymax and his close friends adrenaline junkie Go Go Tomago, neatnik Wasabi, chemistry whiz Honey Lemon and fanboy Fred. Determined to uncover the mystery, Hiro transforms his friends into a band of high-tech heroes called ""Big Hero 6."" —Walt Disney Animation Studios","{'Baymax': 'Scott Adsit', 'Hiro': 'Ryan Potter', 'Tadashi': 'Daniel Henney', 'Fred': 'T.J. Miller', 'Go Go': 'Jamie Chung'}"
Nightcrawler (2014),"The story goes around the three friends who start a business, also providing coaching classes and tuition. Omi asks for help with his uncle, who is also a political leader, to start this business. Govind provides tuition classes to some children and Ishaan gives cricket coaching. They come to meet a boy, Ali who is gifted with hyper-reflex. Ishaan then starts special coaching for the boy so that the country gets a new star player. But unexpected things happen suddenly and the story takes a turn.","{'Ishaan Bhatt': 'Sushant Singh Rajput', 'Govind': 'Rajkummar Rao', 'Omi Shastri': 'Amit Sadh', 'Vidya Bhatt': 'Amrita Puri', 'Ali Hashmi': 'Digvijay Deshmukh'}"
Star Wars: Episode VII - The Force Awakens (2015),"At the age of 21, Tim Lake (Domhnall Gleeson) discovers he can travel in time... The night after another unsatisfactory New Year party, Tim's father (Bill Nighy) tells his son that the men in his family have always had the ability to travel through time. Tim can't change history, but he can change what happens and has happened in his own life-so he decides to make his world a better place...by getting a girlfriend. Sadly, that turns out not to be as easy as you might think. Moving from the Cornwall coast to London to train as a lawyer, Tim finally meets the beautiful but insecure Mary (Rachel McAdams). They fall in love, then an unfortunate time-travel incident means he's never met her at all. So they meet for the first time again-and again-but finally, after a lot of cunning time-traveling, he wins her heart. Tim then uses his power to create the perfect romantic proposal, to save his wedding from the worst best-man speeches, to save his best friend from professional disaster and to get his pregnant wife to the hospital in time for the birth of their daughter, despite a nasty traffic jam outside Abbey Road. But as his unusual life progresses, Tim finds out that his unique gift can't save him from the sorrows and ups and downs that affect all families, everywhere. There are great limits to what time travel can achieve, and it can be dangerous too.","{'Tim': 'Domhnall Gleeson', 'Mary': 'Rachel McAdams', 'Dad': 'Bill Nighy', 'Kit Kat': 'Lydia Wilson', 'Mum': 'Lindsay Duncan'}"
La grande bellezza (2013),"The story of a quiet, sweet tempered housewife who endures small slights from her well educated husband and daughter everyday because of her inability to speak and understand English. She is resourceful and open-minded but somehow these traits don't get noticed by them. Then one day on a trip to visit her sister in Manhattan she decides to enroll in an English Learners class and meets a host of new people who teach her to value herself beyond the narrow perspective of her family.","{'Shashi Godbole': 'Sridevi', 'Satish Godbole': 'Adil Hussain', 'Laurent': 'Mehdi Nebbou', 'Radha': 'Priya Anand', ""Manu, Shashi's sister"": 'Sujata Kumar'}"
The Lunchbox (2013),"Jiro dreams of flying and designing beautiful airplanes, inspired by the famous Italian aeronautical designer Caproni. Nearsighted from a young age and unable to be a pilot, Jiro joins a major Japanese engineering company in 1927 and becomes one of the world's most innovative and accomplished airplane designers. The film chronicles much of his life, depicting key historical events, including the Great Kanto Earthquake of 1923, the Great Depression, the tuberculosis epidemic and Japan's plunge into war. Jiro meets and falls in love with Nahoko, and grows and cherishes his friendship with his colleague Honjo.","{'Jirô Horikoshi': 'Hideaki Anno', 'Honjô': 'Hidetoshi Nishijima', 'Naoko Satomi': 'Miori Takimoto', 'Kurokawa': 'Masahiko Nishimura', 'Castorp': 'Stephen Alpert'}"
Vicky Donor (2012),"In the world of high-end art auctions and antiques, Virgil Oldman is an elderly and esteemed but eccentric genius art-expert, known and appreciated by the world. Oldman is hired by a solitary young heiress, Claire Ibbetson, to auction off the large collection of art and antiques left to her by her parents. For some reason, Claire always refuses to be seen in person. Robert aids Oldman in restoring and reassembling some odd mechanical parts he finds amongst Claire's belongings, while also giving him advice on how to befriend her and deal with his feelings towards her. Also a friend of Oldman, Billy Whistler helps him to acquire a secret private collection of master paintings.","{'Virgil Oldman': 'Geoffrey Rush', 'Robert': 'Jim Sturgess', 'Claire Ibbetson': 'Sylvia Hoeks', 'Billy Whistler': 'Donald Sutherland', 'Fred': 'Philip Jackson'}"
Big Hero 6 (2014),"Set on an island off the coast of New England in the 1960s, as a young boy and girl fall in love they are moved to run away together. Various factions of the town mobilize to search for them and the town is turned upside down - which might not be such a bad thing.","{'Captain Sharp': 'Bruce Willis', 'Scout Master Ward': 'Edward Norton', 'Mr. Bishop': 'Bill Murray', 'Mrs. Bishop': 'Frances McDormand', 'Social Services': 'Tilda Swinton'}"
Kai po che! (2013),"It's been five years since Hiccup and Toothless successfully united dragons and vikings on the island of Berk. While Astrid, Snotlout and the rest of the gang are challenging each other to dragon races (the island's new favorite contact sport), the now inseparable pair journey through the skies, charting unmapped territories and exploring new worlds. When one of their adventures leads to the discovery of a secret ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace. Now, Hiccup and Toothless must unite to stand up for what they believe while recognizing that only together do they have the power to change the future of both men and dragons.","{'Hiccup': 'Jay Baruchel', 'Valka': 'Cate Blanchett', 'Stoick': 'Gerard Butler', 'Gobber': 'Craig Ferguson', 'Astrid': 'America Ferrera'}"
About Time (I) (2013),"Three separate but parallel stories of the U.S mortgage housing crisis of 2005 are told. Michael Burry, an eccentric ex-physician turned one-eyed Scion Capital hedge fund manager, has traded traditional office attire for shorts, bare feet and a Supercuts haircut. He believes that the US housing market is built on a bubble that will burst within the next few years. Autonomy within the company allows Burry to do largely as he pleases, so Burry proceeds to bet against the housing market with the banks, who are more than happy to accept his proposal for something that has never happened in American history. The banks believe that Burry is a crackpot and therefore are confident in that they will win the deal. Jared Vennett with Deutschebank gets wind of what Burry is doing and, as an investor believes he too can cash in on Burry's beliefs. An errant telephone call to FrontPoint Partners gets this information into the hands of Mark Baum, an idealist who is fed up with the corruption in the financial industry. Baum and his associates, who work at an arms length under Morgan Stanley, decide to join forces with Vennett despite not totally trusting him. In addition to Burry's information, they further believe that most of the mortgages are overrated by the bond agencies, with the banks collating all the sub-prime mortgages under AAA packages. Charlie Geller and Jamie Shipley, who are minor players in a $30 million start-up garage company called Brownfield, get a hold of Vennett's prospectus on the matter. Wanting in on the action but not having the official clout to play, they decide to call an old ""friend"", retired investment banker Ben Rickert, to help out. All three of these groups work on the premise that the banks are stupid and don't know what's going on, while for them to win, the general economy has to lose, which means the suffering of the general investor who trusts the financial institutions. That latter aspect may not sit well with Baum. Some of these assumptions may be incorrect and may be far more manipulative than they could have ever imagined, which in turn may throw curves into the process.","{'Jared Vennett': 'Ryan Gosling', 'Lewis Ranieri': 'Rudy Eisenzopf', 'Fund Manager': 'Casey Groves', 'Lewis Bond Trader': 'Harold Gervais'}"
English Vinglish (2012),"SPOILER: Jang Kyung-chul (Choi Min-sik) is a dangerous psychopath serial killer. He has committed infernal serial murders in diabolic ways that one cannot even imagine and his victims range from young women to even children. The police have chased him for a long time, but were unable to catch him. One day, Joo-yeon, daughter of a retired police chief becomes his prey and is found dead in a horrific state. Her fiancé Soo-hyun (Lee Byung-hun), a top secret agent, decides to track down the murderer himself. He promises himself that he will do everything in his power to take bloody vengeance against the killer, even if it means that he must become a monster himself to get this monstrous and inhumane killer.","{'Kim Soo-hyeon': 'Lee Byung-hun', 'Jang Kyung-chul': 'Choi Min-sik', 'Squad Chief Jang': 'Jeon Gook-hwan', 'Section Chief Oh': 'Ho-jin Chun', 'Joo-yeon': 'San-ha Oh'}"
